"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FRCDAMaterialPharm","FRCDAMaterialPharm.asSpecializedKind.modifierExtension","FRCDAMaterialPharm.asSpecializedKind.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"FRCDAMaterialPharm","FRCDAMaterialPharm.asSpecializedKind.classCode","FRCDAMaterialPharm.asSpecializedKind.classCode","","","",1,1,"","","","code {[]} {[]}
","Classe de la relation","Code indiquant qu'il s'agit d'une relation vers une classe générique ou thérapeutique.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""GRIC""/>","","","",,,,,"",,,,"FRCDAMaterialPharm.asSpecializedKind.classCode",1,1,"",""
"FRCDAMaterialPharm","FRCDAMaterialPharm.asSpecializedKind.generalizedMedicineClass","FRCDAMaterialPharm.asSpecializedKind.generalizedMedicineClass","","","",1,1,"","","","BackboneElement {[]} {[]}
","Classe générique du médicament","Classe générique ou thérapeutique à laquelle appartient le produit de santé.","","","","","","","","","",,,,,"",,,,"FRCDAMaterialPharm.asSpecializedKind.generalizedMedicineClass",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"FRCDAMaterialPharm","FRCDAMaterialPharm.asSpecializedKind.generalizedMedicineClass.id","FRCDAMaterialPharm.asSpecializedKind.generalizedMedicineClass.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"FRCDAMaterialPharm","FRCDAMaterialPharm.asSpecializedKind.generalizedMedicineClass.extension","FRCDAMaterialPharm.asSpecializedKind.generalizedMedicineClass.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"FRCDAMaterialPharm","FRCDAMaterialPharm.asSpecializedKind.generalizedMedicineClass.modifierExtension","FRCDAMaterialPharm.asSpecializedKind.generalizedMedicineClass.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"FRCDAMaterialPharm","FRCDAMaterialPharm.asSpecializedKind.generalizedMedicineClass.classCode","FRCDAMaterialPharm.asSpecializedKind.generalizedMedicineClass.classCode","","","",1,1,"","","","code {[]} {[]}
","Classe du matériau","Code indiquant que la classe représente un matériau pharmaceutique.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""MMAT""/>","","","",,,,,"",,,,"FRCDAMaterialPharm.asSpecializedKind.generalizedMedicineClass.classCode",1,1,"",""
"FRCDAMaterialPharm","FRCDAMaterialPharm.asSpecializedKind.generalizedMedicineClass.code","FRCDAMaterialPharm.asSpecializedKind.generalizedMedicineClass.code","","","",1,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/CE {[]} {[]}
","Code de classification","Code représentant la classe générique ou thérapeutique du produit de santé selon le système de codage utilisé.","","","","","","","","","",,,,,"",,,,"FRCDAMaterialPharm.asSpecializedKind.generalizedMedicineClass.code",1,1,"",""
"FRCDAMaterialPharm","FRCDAMaterialPharm.asSpecializedKind.generalizedMedicineClass.name","FRCDAMaterialPharm.asSpecializedKind.generalizedMedicineClass.name","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/EN {[]} {[]}
","Nom de la classification","Nom de la classe générique ou thérapeutique du produit de santé.","","","","","","","","","",,,,,"",,,,"FRCDAMaterialPharm.asSpecializedKind.generalizedMedicineClass.name",0,1,"",""
"FRCDAMaterialPharm","FRCDAMaterialPharm.ingredient","FRCDAMaterialPharm.ingredient","","","",0,*,"","","","BackboneElement {[]} {[]}
","Ingrédient actif","Ingrédient actif entrant dans la composition du produit de santé.","","","","","","","","","",,,,,"",,,,"FRCDAMaterialPharm.ingredient",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"FRCDAMaterialPharm","FRCDAMaterialPharm.ingredient.id","FRCDAMaterialPharm.ingredient.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"FRCDAMaterialPharm","FRCDAMaterialPharm.ingredient.extension","FRCDAMaterialPharm.ingredient.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"FRCDAMaterialPharm","FRCDAMaterialPharm.ingredient.modifierExtension","FRCDAMaterialPharm.ingredient.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"FRCDAMaterialPharm","FRCDAMaterialPharm.ingredient.classCode","FRCDAMaterialPharm.ingredient.classCode","","","",1,1,"","","","code {[]} {[]}
","Classe de l'ingrédient","Code indiquant qu'il s'agit d'un ingrédient actif.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""ACTI""/>","","","",,,,,"",,,,"FRCDAMaterialPharm.ingredient.classCode",1,1,"",""
